,INFLUENCEURS,SUIT OMAJ,SUIVI PAR OMAJ,TYPE DE CONTENU,engagée, vide dressing, mode consciente, sport, grandes tailles,écologie,durable, podcast, mobilier, nourriture, slow, vetementdocassion, vintage , slowfashion, vintage, écolo,ecologie,  durable, fashion,secondemain, couture, économie circulaire, photographe, mode, haul, économie responsable, ecofriendly, upcycling ,slow , durable,upcycling,slow, upcycling,économie circulaire, équitable,  femme,slowfashion, vinted , looks, mode éthique , engagée, vinted,mode éthique,animatrice télé, coloré,looks, slow , zérodéchet,vintage, luxe, ecofriendly , secondemain,économie responsable, secondevie, durable , mode éthique, écologie,zérodéchet, mode ,autrice, reconditionné,mode, design,friperie
48,manonl.delahaute,0,0,"secondemain, slow, upcycling, vintage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,alienorminuit,0,1,"secondemain, slow , durable ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,anadasilv__,1,1,"mode éthique, slow, économie responsable, durable",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,lananasblonde,1,1,"slow, économie responsable, secondemain, durable, mode éthique",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,cyrielleblazy,0,0,"mode éthique, secondemain, durable, économie responsable",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,lespetitsgestes,1,1,"mode éthique,  durable, engagée, économie responsable, upcycling",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,mellisuga.couture,0,0,"upcycling, vintage, engagée",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,candice_tya,0,0,"économie responsable, mode éthique, durable, économie circulaire",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,jesuisunebelette,1,0,"mode éthique, upcycling, secondemain, économie responsable, slow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,greenylene,0,0,"durable, mode éthique, économie responsable, vintage, secondemain",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,elise_ecogestes,0,0,"économie circulaire, économie responsable, ecofriendly, secondemain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,lasourischineuse,0,0,"secondemain, durable, slow",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,alittlepieceofananas,1,1,"secondemain, mode éthique, upcycling, économie responsable, économie circulaire, vintage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,OMAJ,0,0,"secondemain, mode éthique, économie circulaire, économie responsable, slow, engagée, vintage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
